index	louvain	Cai_mapping	cell_types	field
0	9	10	Astrocytes2	0
1	2	3	Th+ Interneuron2	0
2	0	1	Th+ Interneuron1	0
3	14	15	Neuroblast3	0
4	4	5	Th+ Interneuron3	0
5	24	25	Oligodendrocyte	0
6	2	3	Th+ Interneuron2	0
7	9	10	Astrocytes2	0
8	16	17	Mitral/Tufted	0
9	10	11	Neuroblast2	0
10	16	17	Mitral/Tufted	0
11	9	10	Astrocytes2	0
12	9	10	Astrocytes2	0
13	21	22	Th+ Interneuron4	0
14	1	2	Interneuron1	0
15	22	23	Neuroblast6	0
16	22	23	Neuroblast6	0
17	11	12	Endothelial	0
18	16	17	Mitral/Tufted	0
19	9	10	Astrocytes2	0
20	16	17	Mitral/Tufted	0
21	2	3	Th+ Interneuron2	0
22	16	17	Mitral/Tufted	0
23	9	10	Astrocytes2	0
24	2	3	Th+ Interneuron2	0
25	2	3	Th+ Interneuron2	0
26	11	12	Endothelial	0
27	11	12	Endothelial	0
28	8	9	Olfactory	0
29	2	3	Th+ Interneuron2	0
30	11	12	Endothelial	0
31	11	12	Endothelial	0
32	8	9	Olfactory	0
33	9	10	Astrocytes2	0
34	19	20	Microglia	0
35	9	10	Astrocytes2	0
36	8	9	Olfactory	0
37	19	20	Microglia	0
38	23	24	Pia	0
39	23	24	Pia	0
40	23	24	Pia	0
41	23	24	Pia	0
42	23	24	Pia	0
43	19	20	Microglia	0
44	23	24	Pia	0
45	23	24	Pia	0
46	23	24	Pia	0
47	23	24	Pia	0
48	23	24	Pia	0
49	11	12	Endothelial	0
50	23	24	Pia	0
51	23	24	Pia	0
52	23	24	Pia	0
53	23	24	Pia	0
54	23	24	Pia	0
55	8	9	Olfactory	0
56	23	24	Pia	0
57	11	12	Endothelial	0
58	23	24	Pia	0
59	11	12	Endothelial	0
60	8	9	Olfactory	0
61	8	9	Olfactory	0
62	8	9	Olfactory	0
63	11	12	Endothelial	0
64	8	9	Olfactory	0
65	8	9	Olfactory	0
66	24	25	Oligodendrocyte	0
67	2	3	Th+ Interneuron2	0
68	13	14	Interneuron5	0
69	22	23	Neuroblast6	0
70	9	10	Astrocytes2	0
71	2	3	Th+ Interneuron2	0
72	9	10	Astrocytes2	0
73	2	3	Th+ Interneuron2	0
74	11	12	Endothelial	0
75	2	3	Th+ Interneuron2	0
76	9	10	Astrocytes2	0
77	2	3	Th+ Interneuron2	0
78	22	23	Neuroblast6	0
79	22	23	Neuroblast6	0
80	22	23	Neuroblast6	0
81	11	12	Endothelial	0
82	2	3	Th+ Interneuron2	0
83	2	3	Th+ Interneuron2	0
84	9	10	Astrocytes2	0
85	2	3	Th+ Interneuron2	0
86	2	3	Th+ Interneuron2	0
87	11	12	Endothelial	0
88	8	9	Olfactory	0
89	2	3	Th+ Interneuron2	0
90	2	3	Th+ Interneuron2	0
91	7	8	Astrocytes1	0
92	9	10	Astrocytes2	0
93	13	14	Interneuron5	0
94	8	9	Olfactory	0
95	19	20	Microglia	0
96	2	3	Th+ Interneuron2	0
97	1	2	Interneuron1	0
98	8	9	Olfactory	0
99	8	9	Olfactory	0
100	8	9	Olfactory	0
101	8	9	Olfactory	0
102	7	8	Astrocytes1	0
103	19	20	Microglia	0
104	8	9	Olfactory	0
105	8	9	Olfactory	0
106	8	9	Olfactory	0
107	8	9	Olfactory	0
108	11	12	Endothelial	0
109	8	9	Olfactory	0
110	8	9	Olfactory	0
111	8	9	Olfactory	0
112	8	9	Olfactory	0
113	2	3	Th+ Interneuron2	0
114	2	3	Th+ Interneuron2	0
115	2	3	Th+ Interneuron2	0
116	0	1	Th+ Interneuron1	0
117	9	10	Astrocytes2	0
118	2	3	Th+ Interneuron2	0
119	2	3	Th+ Interneuron2	0
120	11	12	Endothelial	0
121	22	23	Neuroblast6	0
122	2	3	Th+ Interneuron2	0
123	11	12	Endothelial	0
124	2	3	Th+ Interneuron2	0
125	11	12	Endothelial	0
126	22	23	Neuroblast6	0
127	2	3	Th+ Interneuron2	0
128	2	3	Th+ Interneuron2	0
129	2	3	Th+ Interneuron2	0
130	22	23	Neuroblast6	0
131	13	14	Interneuron5	0
132	0	1	Th+ Interneuron1	0
133	2	3	Th+ Interneuron2	0
134	9	10	Astrocytes2	0
135	2	3	Th+ Interneuron2	0
136	2	3	Th+ Interneuron2	0
137	22	23	Neuroblast6	0
138	2	3	Th+ Interneuron2	0
139	10	11	Neuroblast2	0
140	2	3	Th+ Interneuron2	0
141	2	3	Th+ Interneuron2	0
142	2	3	Th+ Interneuron2	0
143	2	3	Th+ Interneuron2	0
144	10	11	Neuroblast2	0
145	2	3	Th+ Interneuron2	0
146	2	3	Th+ Interneuron2	0
147	22	23	Neuroblast6	0
148	4	5	Th+ Interneuron3	0
149	22	23	Neuroblast6	0
150	11	12	Endothelial	0
151	19	20	Microglia	0
152	2	3	Th+ Interneuron2	0
153	2	3	Th+ Interneuron2	0
154	2	3	Th+ Interneuron2	0
155	2	3	Th+ Interneuron2	0
156	9	10	Astrocytes2	0
157	8	9	Olfactory	0
158	22	23	Neuroblast6	0
159	19	20	Microglia	0
160	2	3	Th+ Interneuron2	0
161	2	3	Th+ Interneuron2	0
162	11	12	Endothelial	0
163	8	9	Olfactory	0
164	8	9	Olfactory	0
165	8	9	Olfactory	0
166	23	24	Pia	0
167	23	24	Pia	0
168	8	9	Olfactory	0
169	9	10	Astrocytes2	0
170	3	4	Interneuron2	0
171	4	5	Th+ Interneuron3	0
172	9	10	Astrocytes2	0
173	9	10	Astrocytes2	0
174	9	10	Astrocytes2	0
175	11	12	Endothelial	0
176	24	25	Oligodendrocyte	0
177	2	3	Th+ Interneuron2	0
178	2	3	Th+ Interneuron2	0
179	2	3	Th+ Interneuron2	0
180	9	10	Astrocytes2	0
181	19	20	Microglia	0
182	19	20	Microglia	0
183	9	10	Astrocytes2	0
184	2	3	Th+ Interneuron2	0
185	2	3	Th+ Interneuron2	0
186	0	1	Th+ Interneuron1	0
187	16	17	Mitral/Tufted	0
188	2	3	Th+ Interneuron2	0
189	9	10	Astrocytes2	0
190	22	23	Neuroblast6	0
191	2	3	Th+ Interneuron2	0
192	7	8	Astrocytes1	0
193	2	3	Th+ Interneuron2	0
194	2	3	Th+ Interneuron2	0
195	9	10	Astrocytes2	0
196	11	12	Endothelial	0
197	9	10	Astrocytes2	0
198	2	3	Th+ Interneuron2	0
199	2	3	Th+ Interneuron2	0
200	2	3	Th+ Interneuron2	0
201	11	12	Endothelial	0
202	2	3	Th+ Interneuron2	0
203	11	12	Endothelial	0
204	11	12	Endothelial	0
205	2	3	Th+ Interneuron2	0
206	8	9	Olfactory	0
207	9	10	Astrocytes2	0
208	13	14	Interneuron5	0
209	9	10	Astrocytes2	0
210	22	23	Neuroblast6	0
211	8	9	Olfactory	0
212	8	9	Olfactory	0
213	8	9	Olfactory	0
214	8	9	Olfactory	0
215	8	9	Olfactory	0
216	8	9	Olfactory	0
217	8	9	Olfactory	0
218	8	9	Olfactory	0
219	8	9	Olfactory	0
220	2	3	Th+ Interneuron2	0
221	19	20	Microglia	0
222	11	12	Endothelial	0
223	11	12	Endothelial	0
224	23	24	Pia	0
225	23	24	Pia	0
226	11	12	Endothelial	0
227	11	12	Endothelial	0
228	8	9	Olfactory	0
229	8	9	Olfactory	0
230	11	12	Endothelial	0
231	8	9	Olfactory	0
232	23	24	Pia	0
233	9	10	Astrocytes2	0
234	23	24	Pia	0
235	8	9	Olfactory	0
236	23	24	Pia	0
237	8	9	Olfactory	0
238	8	9	Olfactory	0
239	2	3	Th+ Interneuron2	0
240	8	9	Olfactory	0
241	2	3	Th+ Interneuron2	0
242	8	9	Olfactory	0
243	8	9	Olfactory	0
244	2	3	Th+ Interneuron2	0
245	8	9	Olfactory	0
246	2	3	Th+ Interneuron2	0
247	8	9	Olfactory	0
248	2	3	Th+ Interneuron2	0
249	2	3	Th+ Interneuron2	0
250	2	3	Th+ Interneuron2	0
251	16	17	Mitral/Tufted	0
252	13	14	Interneuron5	1
253	1	2	Interneuron1	1
254	15	16	Interneuron6	1
255	6	7	Interneuron3	1
256	24	25	Oligodendrocyte	1
257	24	25	Oligodendrocyte	1
258	5	6	Neuroblast1	1
259	13	14	Interneuron5	1
260	0	1	Th+ Interneuron1	1
261	14	15	Neuroblast3	1
262	5	6	Neuroblast1	1
263	7	8	Astrocytes1	1
264	6	7	Interneuron3	1
265	0	1	Th+ Interneuron1	1
266	24	25	Oligodendrocyte	1
267	6	7	Interneuron3	1
268	13	14	Interneuron5	1
269	15	16	Interneuron6	1
270	13	14	Interneuron5	1
271	12	13	Interneuron4	1
272	1	2	Interneuron1	1
273	5	6	Neuroblast1	1
274	9	10	Astrocytes2	1
275	13	14	Interneuron5	1
276	7	8	Astrocytes1	1
277	17	18	Neuroblast4	1
278	12	13	Interneuron4	1
279	3	4	Interneuron2	1
280	1	2	Interneuron1	1
281	10	11	Neuroblast2	1
282	4	5	Th+ Interneuron3	1
283	6	7	Interneuron3	1
284	13	14	Interneuron5	1
285	10	11	Neuroblast2	1
286	10	11	Neuroblast2	1
287	13	14	Interneuron5	1
288	5	6	Neuroblast1	1
289	3	4	Interneuron2	1
290	4	5	Th+ Interneuron3	1
291	3	4	Interneuron2	1
292	5	6	Neuroblast1	1
293	1	2	Interneuron1	1
294	10	11	Neuroblast2	1
295	18	19	Interneuron7	1
296	13	14	Interneuron5	1
297	3	4	Interneuron2	1
298	4	5	Th+ Interneuron3	1
299	7	8	Astrocytes1	1
300	18	19	Interneuron7	1
301	10	11	Neuroblast2	1
302	10	11	Neuroblast2	1
303	5	6	Neuroblast1	1
304	6	7	Interneuron3	1
305	3	4	Interneuron2	1
306	6	7	Interneuron3	1
307	18	19	Interneuron7	1
308	4	5	Th+ Interneuron3	1
309	0	1	Th+ Interneuron1	1
310	13	14	Interneuron5	1
311	12	13	Interneuron4	1
312	1	2	Interneuron1	1
313	5	6	Neuroblast1	1
314	20	21	Neuroblast5	1
315	13	14	Interneuron5	1
316	5	6	Neuroblast1	1
317	10	11	Neuroblast2	1
318	6	7	Interneuron3	1
319	14	15	Neuroblast3	1
320	13	14	Interneuron5	1
321	0	1	Th+ Interneuron1	1
322	20	21	Neuroblast5	1
323	1	2	Interneuron1	1
324	18	19	Interneuron7	1
325	10	11	Neuroblast2	1
326	0	1	Th+ Interneuron1	1
327	18	19	Interneuron7	1
328	15	16	Interneuron6	1
329	4	5	Th+ Interneuron3	1
330	6	7	Interneuron3	1
331	5	6	Neuroblast1	1
332	18	19	Interneuron7	1
333	5	6	Neuroblast1	1
334	5	6	Neuroblast1	1
335	6	7	Interneuron3	1
336	6	7	Interneuron3	1
337	6	7	Interneuron3	1
338	13	14	Interneuron5	1
339	1	2	Interneuron1	1
340	5	6	Neuroblast1	1
341	3	4	Interneuron2	1
342	10	11	Neuroblast2	1
343	24	25	Oligodendrocyte	1
344	20	21	Neuroblast5	1
345	13	14	Interneuron5	1
346	5	6	Neuroblast1	1
347	12	13	Interneuron4	1
348	7	8	Astrocytes1	1
349	2	3	Th+ Interneuron2	1
350	3	4	Interneuron2	1
351	0	1	Th+ Interneuron1	1
352	3	4	Interneuron2	1
353	15	16	Interneuron6	1
354	5	6	Neuroblast1	1
355	5	6	Neuroblast1	1
356	6	7	Interneuron3	1
357	20	21	Neuroblast5	1
358	1	2	Interneuron1	1
359	13	14	Interneuron5	1
360	10	11	Neuroblast2	1
361	13	14	Interneuron5	1
362	3	4	Interneuron2	1
363	0	1	Th+ Interneuron1	1
364	5	6	Neuroblast1	1
365	18	19	Interneuron7	1
366	19	20	Microglia	1
367	6	7	Interneuron3	1
368	6	7	Interneuron3	1
369	1	2	Interneuron1	1
370	5	6	Neuroblast1	1
371	4	5	Th+ Interneuron3	1
372	14	15	Neuroblast3	1
373	10	11	Neuroblast2	1
374	17	18	Neuroblast4	1
375	19	20	Microglia	1
376	13	14	Interneuron5	1
377	6	7	Interneuron3	1
378	3	4	Interneuron2	1
379	3	4	Interneuron2	1
380	21	22	Th+ Interneuron4	1
381	7	8	Astrocytes1	1
