"pixel_x","pixel_y","cell_ID"
3448,-5756.9,"8x20"
3442.1,-6152.2,"8x22"
3446.9,-7356.7,"8x28"
3442.5,-8156.2,"8x32"
3444.9,-8557.8,"8x34"
3445.2,-8957.5,"8x36"
3629.1,-5554.6,"9x19"
3620.9,-5953.8,"9x21"
3631.6,-6353.5,"9x23"
3627.6,-6757.5,"9x25"
3630.9,-7154.6,"9x27"
3627.5,-7557.1,"9x29"
3622.1,-7954.6,"9x31"
3627.7,-8358.2,"9x33"
3627.7,-8757.6,"9x35"
3627.5,-9157.7,"9x37"
3813.6,-4963.7,"10x16"
3809.8,-5365.9,"10x18"
3813.2,-5762.1,"10x20"
3806.2,-6163.1,"10x22"
3811.6,-6567.3,"10x24"
3814.3,-6960.8,"10x26"
3817.9,-7360.8,"10x28"
3803.2,-7769.9,"10x30"
3807.4,-8171,"10x32"
3807.7,-8578.1,"10x34"
3811.8,-8975.2,"10x36"
3989.1,-4359.3,"11x13"
3998.7,-4760.9,"11x15"
3998.3,-5155.7,"11x17"
3993.5,-5557,"11x19"
3986.5,-5960.1,"11x21"
3986.5,-6365.6,"11x23"
3995,-6772.6,"11x25"
3992.3,-7159.7,"11x27"
3983.7,-7572.1,"11x29"
3987.9,-7976.1,"11x31"
3985.9,-8374.3,"11x33"
3986,-8777.4,"11x35"
3984.9,-9167.8,"11x37"
4179.4,-4157.1,"12x12"
4172,-4555,"12x14"
4173.7,-4954.2,"12x16"
4170.7,-5357.9,"12x18"
4176.8,-5756.7,"12x20"
4164.1,-6161.8,"12x22"
4166,-6558.4,"12x24"
4166.4,-6968.2,"12x26"
4176.8,-7363.5,"12x28"
4161.6,-7770.7,"12x30"
4168.8,-8169.2,"12x32"
4167.6,-8576.7,"12x34"
4178.2,-8971.9,"12x36"
4158.1,-9366,"12x38"
4363,-3954,"13x11"
4349.1,-4355.2,"13x13"
4354.4,-4759.3,"13x15"
4354,-5158,"13x17"
4356.6,-5557.4,"13x19"
4350.6,-5956.1,"13x21"
4342.1,-6364,"13x23"
4353.3,-6759.6,"13x25"
4355.7,-7154.7,"13x27"
4346.5,-7568.5,"13x29"
4349.6,-7962.6,"13x31"
4350.5,-8367.9,"13x33"
4349.5,-8774.7,"13x35"
4351.9,-9168.7,"13x37"
4533.6,-3346.1,"14x8"
4538.1,-3748.4,"14x10"
4536.9,-4147.2,"14x12"
4528.8,-4547.7,"14x14"
4531.6,-4941.2,"14x16"
4537.3,-5351.8,"14x18"
4537.2,-5744.9,"14x20"
4526.7,-6147.3,"14x22"
4527.2,-6548.1,"14x24"
4531.4,-6948,"14x26"
4531,-7351.3,"14x28"
4522.6,-7744.8,"14x30"
4526.4,-8145.9,"14x32"
4530.2,-8547.4,"14x34"
4535.3,-8952.1,"14x36"
4526.1,-9350.2,"14x38"
4714.8,-3144.9,"15x7"
4717.8,-3549.9,"15x9"
4718.8,-3957.5,"15x11"
4708.4,-4348.4,"15x13"
4710.7,-4746.5,"15x15"
4714.5,-5159.6,"15x17"
4718.4,-5550.8,"15x19"
4708.8,-5948.1,"15x21"
4707,-6348.9,"15x23"
4707.1,-6755.8,"15x25"
4714.4,-7156.7,"15x27"
4705.2,-7548.5,"15x29"
4706.4,-7948.4,"15x31"
4709.4,-8351.4,"15x33"
4710.7,-8754.5,"15x35"
4707.6,-9154.8,"15x37"
4711,-9552.5,"15x39"
4892.9,-2945.6,"16x6"
4896.1,-3346.4,"16x8"
4900.1,-3750.8,"16x10"
4897.9,-4147.5,"16x12"
4891.9,-4547.5,"16x14"
4890.2,-4951,"16x16"
4897,-5354.7,"16x18"
4902,-5750,"16x20"
4888.6,-6147.2,"16x22"
4887.9,-6553.4,"16x24"
4896.5,-6945.5,"16x26"
4891.8,-7352.8,"16x28"
4885.9,-7747.9,"16x30"
4889.4,-8149.4,"16x32"
