uniq_ID	Field_of_View	cell_types
cell_1	0	Excitatory neuron
cell_2	0	Excitatory neuron
cell_3	0	Excitatory neuron
cell_4	0	Interneuron
cell_5	0	Excitatory neuron
cell_6	0	Interneuron
cell_7	0	Excitatory neuron
cell_8	0	Interneuron
cell_9	0	Excitatory neuron
cell_10	0	Excitatory neuron
cell_11	0	Excitatory neuron
cell_12	0	Excitatory neuron
cell_13	0	Microglia
cell_14	0	Excitatory neuron
cell_15	0	Excitatory neuron
cell_16	0	Interneuron
cell_17	0	Astrocyte
cell_18	0	Excitatory neuron
cell_19	0	Microglia
cell_20	0	Excitatory neuron
cell_21	0	Excitatory neuron
cell_22	0	Interneuron
cell_23	0	Endothelial
cell_24	0	Interneuron
cell_25	0	Excitatory neuron
cell_26	0	Interneuron
cell_27	0	Excitatory neuron
cell_28	0	Excitatory neuron
cell_29	0	Excitatory neuron
cell_30	0	Excitatory neuron
cell_31	0	Excitatory neuron
cell_32	0	Excitatory neuron
cell_33	0	Excitatory neuron
cell_34	0	Excitatory neuron
cell_35	0	Endothelial
cell_36	0	Interneuron
cell_37	0	Astrocyte
cell_38	0	Endothelial
cell_39	0	Microglia
cell_40	0	Astrocyte
cell_41	0	Excitatory neuron
cell_42	0	Astrocyte
cell_43	0	Astrocyte
cell_44	0	Endothelial
cell_45	0	Astrocyte
cell_46	0	Microglia
cell_47	0	Interneuron
cell_48	0	Astrocyte
cell_49	0	Interneuron
cell_50	0	Microglia
cell_51	0	Astrocyte
cell_52	0	Excitatory neuron
cell_53	0	Interneuron
cell_54	0	Oligodendrocyte
cell_55	0	Excitatory neuron
cell_56	0	Excitatory neuron
cell_57	0	Excitatory neuron
cell_58	0	Excitatory neuron
cell_59	0	Excitatory neuron
cell_60	0	Interneuron
cell_61	0	Excitatory neuron
cell_62	0	Interneuron
cell_63	0	Excitatory neuron
cell_64	0	Excitatory neuron
cell_65	0	Excitatory neuron
cell_66	0	Microglia
cell_67	0	Excitatory neuron
cell_68	0	Excitatory neuron
cell_69	0	Excitatory neuron
