uniq_ID	Field_of_View
cell_1	0
cell_2	0
cell_3	0
cell_4	0
cell_5	0
cell_6	0
cell_7	0
cell_8	0
cell_9	0
cell_10	0
cell_11	0
cell_12	0
cell_13	0
cell_14	0
cell_15	0
cell_16	0
cell_17	0
cell_18	0
cell_19	0
cell_20	0
cell_21	0
cell_22	0
cell_23	0
cell_24	0
cell_25	0
cell_26	0
cell_27	0
cell_28	0
cell_29	0
cell_30	0
cell_31	0
cell_32	0
cell_33	0
cell_34	0
cell_35	0
cell_36	0
cell_37	0
cell_38	0
cell_39	0
cell_40	0
cell_41	0
cell_42	0
cell_43	0
cell_44	0
cell_45	0
cell_46	0
cell_47	0
cell_48	0
cell_49	0
cell_50	0
cell_51	0
cell_52	0
cell_53	0
cell_54	0
cell_55	0
cell_56	0
cell_57	0
cell_58	0
cell_59	0
cell_60	0
cell_61	0
cell_62	0
cell_63	0
cell_64	0
cell_65	0
cell_66	0
cell_67	0
cell_68	0
cell_69	0
cell_70	0
cell_71	0
cell_72	0
cell_73	0
cell_74	0
cell_75	0
cell_76	0
cell_77	0
cell_78	0
cell_79	0
cell_80	0
cell_81	0
cell_82	0
cell_83	0
cell_84	0
cell_85	0
cell_86	0
cell_87	0
cell_88	0
cell_89	0
cell_90	0
cell_91	0
cell_92	0
cell_93	0
cell_94	0
cell_95	0
cell_96	0
cell_97	0
cell_98	0
cell_99	0
cell_100	0
cell_101	0
cell_102	0
cell_103	0
cell_104	0
cell_105	0
cell_106	0
cell_107	0
cell_108	0
cell_109	0
cell_110	0
cell_111	0
cell_112	0
cell_113	0
cell_114	0
cell_115	0
cell_116	0
cell_117	0
cell_118	0
cell_119	1
cell_120	1
cell_121	1
cell_122	1
cell_123	1
cell_124	1
cell_125	1
cell_126	1
cell_127	1
cell_128	1
cell_129	1
cell_130	1
cell_131	1
cell_132	1
cell_133	1
cell_134	1
cell_135	1
cell_136	1
cell_137	1
cell_138	1
cell_139	1
cell_140	1
cell_141	1
cell_142	1
cell_143	1
cell_144	1
cell_145	1
cell_146	1
cell_147	1
cell_148	1
cell_149	1
cell_150	1
cell_151	1
cell_152	1
cell_153	1
cell_154	1
cell_155	1
cell_156	1
cell_157	1
cell_158	1
cell_159	1
cell_160	1
cell_161	1
cell_162	1
cell_163	1
cell_164	1
cell_165	1
cell_166	1
cell_167	1
cell_168	1
cell_169	1
cell_170	1
cell_171	1
cell_172	1
cell_173	1
cell_174	1
cell_175	1
cell_176	1
cell_177	1
cell_178	1
cell_179	1
cell_180	1
cell_181	1
cell_182	1
cell_183	1
cell_184	1
cell_185	1
cell_186	1
cell_187	1
cell_188	1
cell_189	1
cell_190	1
cell_191	1
cell_192	1
cell_193	1
cell_194	1
cell_195	1
cell_196	1
cell_197	1
cell_198	1
cell_199	1
cell_200	1
cell_201	1
cell_202	1
cell_203	1
cell_204	1
cell_205	1
cell_206	1
cell_207	1
cell_208	1
cell_209	1
cell_210	1
cell_211	1
cell_212	1
cell_213	1
cell_214	1
cell_215	1
cell_216	1
cell_217	1
cell_218	1
cell_219	1
cell_220	1
cell_221	1
cell_222	1
cell_223	1
cell_224	1
cell_225	1
cell_226	1
cell_227	2
cell_228	2
cell_229	2
cell_230	2
cell_231	2
cell_232	2
cell_233	2
cell_234	2
cell_235	2
cell_236	2
cell_237	2
cell_238	2
cell_239	2
cell_240	2
cell_241	2
cell_242	2
cell_243	2
cell_244	2
cell_245	2
cell_246	2
cell_247	2
cell_248	2
cell_249	2
cell_250	2
cell_251	2
cell_252	2
cell_253	2
cell_254	2
cell_255	2
cell_256	2
cell_257	2
cell_258	2
cell_259	2
cell_260	2
cell_261	2
cell_262	2
cell_263	2
cell_264	2
cell_265	2
cell_266	2
cell_267	2
cell_268	2
cell_269	2
cell_270	2
cell_271	2
cell_272	2
cell_273	2
cell_274	2
cell_275	2
cell_276	2
cell_277	2
cell_278	2
cell_279	2
cell_280	2
cell_281	2
cell_282	2
cell_283	2
cell_284	2
cell_285	2
cell_286	2
cell_287	2
cell_288	2
cell_289	2
cell_290	2
cell_291	2
cell_292	2
cell_293	2
cell_294	2
cell_295	2
cell_296	2
cell_297	2
cell_298	2
cell_299	2
cell_300	2
cell_301	2
cell_302	2
cell_303	2
cell_304	2
cell_305	2
cell_306	2
cell_307	2
cell_308	2
cell_309	2
cell_310	2
cell_311	2
cell_312	2
cell_313	2
cell_314	2
cell_315	2
cell_316	2
cell_317	3
cell_318	3
cell_319	3
cell_320	3
cell_321	3
cell_322	3
cell_323	3
cell_324	3
cell_325	3
cell_326	3
cell_327	3
cell_328	3
cell_329	3
cell_330	3
cell_331	3
cell_332	3
cell_333	3
cell_334	3
cell_335	3
cell_336	3
cell_337	3
cell_338	3
cell_339	3
cell_340	3
cell_341	3
cell_342	3
cell_343	3
cell_344	3
cell_345	3
cell_346	3
cell_347	3
cell_348	3
cell_349	3
cell_350	3
cell_351	3
cell_352	3
cell_353	3
cell_354	3
cell_355	3
cell_356	3
cell_357	3
cell_358	3
cell_359	3
cell_360	3
cell_361	3
cell_362	3
cell_363	3
cell_364	3
cell_365	3
cell_366	3
cell_367	3
cell_368	3
cell_369	3
cell_370	3
cell_371	3
cell_372	3
cell_373	3
cell_374	3
cell_375	3
cell_376	3
cell_377	3
cell_378	3
cell_379	3
cell_380	3
cell_381	3
cell_382	3
cell_383	3
cell_384	3
cell_385	3
cell_386	3
cell_387	3
cell_388	3
cell_389	3
cell_390	3
cell_391	3
cell_392	3
cell_393	3
cell_394	3
cell_395	3
cell_396	3
cell_397	3
cell_398	3
cell_399	3
cell_400	3
cell_401	3
cell_402	3
cell_403	3
cell_404	3
cell_405	3
cell_406	3
cell_407	3
cell_408	3
cell_409	3
cell_410	3
cell_411	3
cell_412	3
cell_413	3
cell_414	3
cell_415	3
cell_416	3
cell_417	3
cell_418	3
cell_419	3
cell_420	3
cell_421	3
cell_422	3
cell_423	4
cell_424	4
cell_425	4
cell_426	4
cell_427	4
cell_428	4
cell_429	4
cell_430	4
cell_431	4
cell_432	4
cell_433	4
cell_434	4
cell_435	4
cell_436	4
cell_437	4
cell_438	4
cell_439	4
cell_440	4
cell_441	4
cell_442	4
cell_443	4
cell_444	4
cell_445	4
cell_446	4
cell_447	4
cell_448	4
cell_449	4
cell_450	4
cell_451	4
cell_452	4
cell_453	4
cell_454	4
cell_455	4
cell_456	4
cell_457	4
cell_458	4
cell_459	4
cell_460	4
cell_461	4
cell_462	4
cell_463	4
cell_464	4
cell_465	4
cell_466	4
cell_467	4
cell_468	4
cell_469	4
cell_470	4
cell_471	4
cell_472	4
cell_473	4
cell_474	4
cell_475	4
cell_476	4
cell_477	4
cell_478	4
cell_479	4
cell_480	4
cell_481	4
cell_482	4
cell_483	4
cell_484	4
cell_485	4
cell_486	4
cell_487	4
cell_488	4
cell_489	4
cell_490	4
cell_491	4
cell_492	4
cell_493	4
cell_494	4
cell_495	4
cell_496	4
cell_497	4
cell_498	4
cell_499	4
cell_500	4
cell_501	4
cell_502	4
cell_503	4
cell_504	4
cell_505	4
cell_506	4
cell_507	4
cell_508	4
cell_509	4
cell_510	4
cell_511	4
cell_512	4
cell_513	4
cell_514	4
cell_515	4
cell_516	4
cell_517	4
cell_518	4
cell_519	4
cell_520	4
cell_521	4
cell_522	4
cell_523	4
cell_524	5
cell_525	5
cell_526	5
cell_527	5
cell_528	5
cell_529	5
cell_530	5
cell_531	5
cell_532	5
cell_533	5
cell_534	5
cell_535	5
cell_536	5
cell_537	5
cell_538	5
cell_539	5
cell_540	5
cell_541	5
cell_542	5
cell_543	5
cell_544	5
cell_545	5
cell_546	5
cell_547	5
cell_548	5
cell_549	5
cell_550	5
cell_551	5
cell_552	5
cell_553	5
cell_554	5
cell_555	5
cell_556	5
cell_557	5
cell_558	5
cell_559	5
cell_560	5
cell_561	5
cell_562	5
cell_563	5
cell_564	5
cell_565	5
cell_566	5
cell_567	5
cell_568	5
cell_569	5
cell_570	5
cell_571	5
cell_572	5
cell_573	5
cell_574	5
cell_575	5
cell_576	5
cell_577	5
cell_578	5
cell_579	5
cell_580	5
cell_581	5
cell_582	5
cell_583	5
cell_584	5
cell_585	5
cell_586	5
cell_587	5
cell_588	5
cell_589	5
cell_590	5
cell_591	5
cell_592	5
cell_593	5
cell_594	5
cell_595	5
cell_596	5
cell_597	5
cell_598	5
cell_599	5
cell_600	5
cell_601	5
cell_602	5
cell_603	5
cell_604	5
cell_605	5
cell_606	5
cell_607	5
cell_608	5
cell_609	5
cell_610	5
cell_611	5
cell_612	5
cell_613	5
cell_614	5
cell_615	5
cell_616	5
cell_617	5
cell_618	5
cell_619	5
cell_620	5
cell_621	5
cell_622	5
cell_623	5
cell_624	5
cell_625	5
cell_626	5
cell_627	5
cell_628	5
cell_629	5
cell_630	5
cell_631	5
cell_632	5
cell_633	5
cell_634	5
cell_635	5
cell_636	5
cell_637	5
cell_638	5
cell_639	5
cell_640	5
cell_641	5
cell_642	5
cell_643	5
cell_644	5
cell_645	5
cell_646	5
cell_647	5
cell_648	5
cell_649	5
cell_650	5
cell_651	5
cell_652	5
cell_653	5
cell_654	5
cell_655	5
cell_656	5
cell_657	5
cell_658	5
cell_659	5
cell_660	5
cell_661	5
cell_662	5
cell_663	5
cell_664	5
cell_665	5
cell_666	5
cell_667	5
cell_668	5
cell_669	5
cell_670	5
cell_671	5
cell_672	5
cell_673	5
cell_674	5
cell_675	5
cell_676	5
cell_677	5
cell_678	5
cell_679	5
cell_680	5
cell_681	5
cell_682	5
cell_683	5
cell_684	5
cell_685	5
cell_686	5
cell_687	5
cell_688	5
cell_689	5
cell_690	5
cell_691	5
cell_692	5
cell_693	5
cell_694	5
cell_695	5
cell_696	5
cell_697	5
cell_698	5
cell_699	5
cell_700	5
cell_701	5
cell_702	5
cell_703	5
cell_704	5
cell_705	5
cell_706	5
cell_707	5
cell_708	5
cell_709	5
cell_710	5
cell_711	5
cell_712	5
cell_713	5
cell_714	5
cell_715	5
cell_716	5
cell_717	5
cell_718	5
cell_719	5
cell_720	5
cell_721	5
cell_722	5
cell_723	5
cell_724	5
cell_725	5
cell_726	5
cell_727	5
cell_728	5
cell_729	5
cell_730	5
cell_731	5
cell_732	5
cell_733	5
cell_734	5
cell_735	5
cell_736	5
cell_737	5
cell_738	5
cell_739	5
cell_740	5
cell_741	5
cell_742	5
cell_743	5
cell_744	5
cell_745	5
cell_746	5
cell_747	5
cell_748	5
cell_749	5
cell_750	5
cell_751	5
cell_752	5
cell_753	5
cell_754	5
cell_755	5
cell_756	5
cell_757	5
cell_758	5
cell_759	5
cell_760	5
cell_761	5
cell_762	5
cell_763	5
cell_764	5
cell_765	5
cell_766	5
cell_767	5
cell_768	5
cell_769	5
cell_770	5
cell_771	5
cell_772	5
cell_773	5
cell_774	5
cell_775	5
cell_776	5
cell_777	5
cell_778	5
cell_779	5
cell_780	5
cell_781	5
cell_782	5
cell_783	5
cell_784	5
cell_785	5
cell_786	5
cell_787	5
cell_788	5
cell_789	5
cell_790	5
cell_791	5
cell_792	5
cell_793	5
cell_794	5
cell_795	5
cell_796	5
cell_797	5
cell_798	5
cell_799	5
cell_800	5
cell_801	5
cell_802	5
cell_803	5
cell_804	5
cell_805	6
cell_806	6
cell_807	6
cell_808	6
cell_809	6
cell_810	6
cell_811	6
cell_812	6
cell_813	6
cell_814	6
cell_815	6
cell_816	6
cell_817	6
cell_818	6
cell_819	6
cell_820	6
cell_821	6
cell_822	6
cell_823	6
cell_824	6
cell_825	6
cell_826	6
cell_827	6
cell_828	6
cell_829	6
cell_830	6
cell_831	6
cell_832	6
cell_833	6
cell_834	6
cell_835	6
cell_836	6
cell_837	6
cell_838	6
cell_839	6
cell_840	6
cell_841	6
cell_842	6
cell_843	6
cell_844	6
cell_845	6
cell_846	6
cell_847	6
cell_848	6
cell_849	6
cell_850	6
cell_851	6
cell_852	6
cell_853	6
cell_854	6
cell_855	6
cell_856	6
cell_857	6
cell_858	6
cell_859	6
cell_860	6
cell_861	6
cell_862	6
cell_863	6
cell_864	6
cell_865	6
cell_866	6
cell_867	6
cell_868	6
cell_869	6
cell_870	6
cell_871	6
cell_872	6
cell_873	6
cell_874	6
cell_875	6
cell_876	6
cell_877	6
cell_878	6
cell_879	6
cell_880	6
cell_881	6
cell_882	6
cell_883	6
cell_884	6
cell_885	6
cell_886	6
cell_887	6
cell_888	6
cell_889	6
cell_890	6
cell_891	6
cell_892	6
cell_893	6
cell_894	6
cell_895	6
cell_896	6
cell_897	6
cell_898	6
cell_899	6
cell_900	6
cell_901	6
cell_902	6
cell_903	6
cell_904	6
cell_905	6
cell_906	6
cell_907	6
cell_908	6
cell_909	6
cell_910	6
cell_911	6
cell_912	6
cell_913	6
