Field of View,Cell ID,X,Y
0,1,1632.02,1305.70
0,2,1589.47,669.51
0,3,1539.89,1185.90
0,4,1513.94,710.24
0,5,1477.85,763.87
0,6,1304.03,1142.40
0,7,1291.34,957.71
0,8,1282.49,1725.40
0,9,1218.73,806.56
0,10,1192.59,1800.10
0,11,1202.12,1886.00
0,12,1183.07,950.97
0,13,1162.46,593.51
0,14,1128.82,1596.50
0,15,1115.86,1021.40
0,16,1102.88,1696.00
0,17,1074.92,391.16
0,18,1045.90,597.81
0,19,1037.40,1865.20
0,20,1024.70,469.54
0,21,1017.80,1636.60
0,22,1006.00,344.12
0,23,992.90,1293.30
0,24,980.80,1378.90
0,25,938.60,1594.20
0,26,922.80,822.23
0,27,923.30,560.36
0,28,912.50,742.30
0,29,913.10,1751.60
0,30,882.00,668.36
0,31,810.50,241.57
0,32,800.90,624.11
0,33,802.40,103.12
0,34,798.20,449.39
0,35,752.70,1342.60
0,36,704.50,407.86
0,37,618.20,894.70
0,38,610.60,1272.80
0,39,612.90,1363.80
0,40,565.40,421.27
0,41,553.60,271.42
0,42,531.90,1069.00
0,43,460.60,426.59
0,44,417.40,669.71
0,45,359.30,782.61
0,46,348.10,228.25
0,47,354.20,442.86
0,48,341.40,973.21
0,49,321.00,1201.20
0,50,321.40,854.77
0,51,1924.97,855.84
0,52,1838.05,469.57
0,53,1831.19,1090.20
0,54,1801.58,267.56
0,55,1785.95,981.25
0,56,1769.95,390.59
0,57,1734.44,1117.00
0,58,1687.25,520.51
0,59,1664.57,980.24
0,60,1657.90,799.96
0,61,1508.52,527.31
0,62,1482.67,621.10
0,63,1369.49,571.13
0,64,1839.07,1458.00
0,65,1802.32,1738.70
0,66,1805.00,1561.70
0,67,1812.68,1319.20
0,68,1797.44,1875.40
0,69,1712.56,1428.90
0,70,1679.39,152.20
0,71,1649.39,334.16
0,72,1632.03,1623.40
0,73,1575.96,228.45
0,74,1575.84,1829.60
0,75,1556.42,1741.80
0,76,1566.09,1418.10
0,77,1551.13,363.87
0,78,1492.65,291.89
0,79,1474.76,1745.00
0,80,1466.01,1617.60
0,81,1449.26,1238.00
0,82,1457.75,1875.90
0,83,1457.65,402.80
0,84,1444.82,238.72
0,85,1440.75,1298.30
0,86,1427.06,1401.00
0,87,1414.83,312.93
0,88,1400.12,448.36
0,89,1357.53,699.92
0,90,1351.50,1923.80
0,91,1339.72,370.94
0,92,1298.05,781.88
0,93,1244.38,191.29
0,94,1232.85,1960.00
0,95,1228.13,739.38
0,96,1210.65,374.81
0,97,1208.00,1502.40
0,98,1171.89,266.00
0,99,1156.03,1357.20
0,100,1142.25,446.90
0,101,1109.02,1308.90
0,102,1124.85,745.68
0,103,1106.51,1460.80
0,104,1064.34,799.79
0,105,992.30,996.90
0,106,990.50,886.81
0,107,969.60,1198.50
0,108,956.30,113.16
0,109,939.40,280.75
0,110,907.50,1444.00
0,111,894.40,234.96
0,112,891.10,404.65
0,113,874.30,1127.00
0,114,786.50,921.13
0,115,775.70,796.06
0,116,490.80,1336.00
0,117,421.90,1794.60
0,118,270.00,1383.30
1,119,260.50,1378.70
1,120,242.00,1547.50
1,121,156.10,1634.00
1,122,1593.86,681.30
1,123,1487.81,773.77
1,124,1466.51,861.26
1,125,1421.55,682.46
1,126,1368.22,495.56
1,127,1358.13,594.86
1,128,1335.92,837.63
1,129,1249.37,667.59
1,130,1210.14,575.64
1,131,1208.72,830.55
1,132,1118.18,822.66
1,133,1064.30,926.19
1,134,1906.85,1601.60
1,135,1868.40,1354.50
1,136,1840.05,1800.30
1,137,1837.05,1675.20
1,138,1768.87,1597.60
1,139,1765.48,911.59
1,140,1733.10,1512.50
1,141,1634.98,1083.20
1,142,1631.15,1606.30
1,143,1574.50,1456.60
1,144,1508.36,1464.70
1,145,1485.92,1080.90
1,146,1500.26,1255.10
1,147,1489.83,1814.40
1,148,1471.15,1320.50
1,149,1444.58,376.66
