dataset	spatial_locs	expr_matrix	metadata
ST_OB1	https://raw.githubusercontent.com/RubD/spatial-datasets/master/data/2016_ST_olfactory_bulb/cell_locations/Rep11_MOB_0_location.txt	https://raw.githubusercontent.com/RubD/spatial-datasets/master/data/2016_ST_olfactory_bulb/count_matrix/Rep11_MOB_0_expr.txt	
ST_OB2	https://raw.githubusercontent.com/RubD/spatial-datasets/master/data/2016_ST_olfactory_bulb/cell_locations/Rep12_MOB_0_location.txt	https://raw.githubusercontent.com/RubD/spatial-datasets/master/data/2016_ST_olfactory_bulb/count_matrix/Rep12_MOB_0_expr.txt	
codex_spleen	https://raw.githubusercontent.com/RubD/spatial-datasets/master/data/2018_codex_spleen/cell_locations/codex_BALBc_3_coord.txt	https://raw.githubusercontent.com/RubD/spatial-datasets/master/data/2018_codex_spleen/count_matrix/codex_BALBc_3_expression.txt.gz	https://raw.githubusercontent.com/RubD/spatial-datasets/master/data/2018_codex_spleen/cell_locations/codex_BALBc_3_annotation.txt|https://raw.githubusercontent.com/RubD/spatial-datasets/master/data/2018_codex_spleen/cell_locations/cell_type_annotation.csv
cycif_PDAC	https://raw.githubusercontent.com/RubD/spatial-datasets/master/data/2018_CyCIF_PDAC/cell_locations/cyCIF_PDAC_coord.txt	https://raw.githubusercontent.com/RubD/spatial-datasets/master/data/2018_CyCIF_PDAC/count_matrix/cyCIF_PDAC_expression.txt.gz	https://raw.githubusercontent.com/RubD/spatial-datasets/master/data/2018_CyCIF_PDAC/cell_locations/cyCIF_PDAC_annot.txt|https://raw.githubusercontent.com/RubD/spatial-datasets/master/data/2018_CyCIF_PDAC/raw_data/canvas.png
starmap_3D_cortex	https://raw.githubusercontent.com/RubD/spatial-datasets/master/data/2018_starmap_3D_cortex/cell_locations/STARmap_3D_data_cell_locations.txt	https://raw.githubusercontent.com/RubD/spatial-datasets/master/data/2018_starmap_3D_cortex/count_matrix/STARmap_3D_data_expression.txt	
osmfish_SS_cortex	https://raw.githubusercontent.com/RubD/spatial-datasets/master/data/2018_osmFISH_SScortex/cell_locations/osmFISH_prep_cell_coordinates.txt	https://raw.githubusercontent.com/RubD/spatial-datasets/master/data/2018_osmFISH_SScortex/count_matrix/osmFISH_prep_expression.txt	https://raw.githubusercontent.com/RubD/spatial-datasets/master/data/2018_osmFISH_SScortex/raw_data/osmFISH_prep_cell_metadata.txt
merfish_preoptic	https://raw.githubusercontent.com/RubD/spatial-datasets/master/data/2018_merFISH_science_hypo_preoptic/cell_locations/merFISH_3D_data_cell_locations.txt	https://raw.githubusercontent.com/RubD/spatial-datasets/master/data/2018_merFISH_science_hypo_preoptic/count_matrix/merFISH_3D_data_expression.txt.gz	https://raw.githubusercontent.com/RubD/spatial-datasets/master/data/2018_merFISH_science_hypo_preoptic/cell_locations/merFISH_3D_metadata.txt
seqfish_SS_cortex	https://raw.githubusercontent.com/RubD/spatial-datasets/master/data/2019_seqfish_plus_SScortex/cell_locations/cortex_svz_centroids_coord.txt	https://raw.githubusercontent.com/RubD/spatial-datasets/master/data/2019_seqfish_plus_SScortex/count_matrix/cortex_svz_expression.txt	https://raw.githubusercontent.com/RubD/spatial-datasets/master/data/2019_seqfish_plus_SScortex/cell_locations/cortex_svz_centroids_annot.txt
seqfish_OB	https://raw.githubusercontent.com/RubD/spatial-datasets/master/data/2019_seqfish_plus_olfactory_bulb/cell_locations/OB_centroids_coord.txt	https://raw.githubusercontent.com/RubD/spatial-datasets/master/data/2019_seqfish_plus_olfactory_bulb/count_matrix/OB_expression.txt	https://raw.githubusercontent.com/RubD/spatial-datasets/master/data/2019_seqfish_plus_olfactory_bulb/cell_locations/OB_centroids_annot.txt
slideseq_cerebellum	https://zenodo.org/record/4034228/files/BeadLocationsForR.csv	https://zenodo.org/record/4034228/files/MappedDGEForR.csv	https://zenodo.org/record/4034228/files/l1.cerebellum.cellID.txt|https://zenodo.org/record/4034228/files/l1.cerebellum.cells.nonblood.txt|https://zenodo.org/record/4034228/files/l1.cerebellum.cells.txt|https://zenodo.org/record/4034228/files/l1.cerebellum.class.txt|https://zenodo.org/record/4034228/files/l1.cerebellum.genes.txt|https://zenodo.org/record/4034228/files/l1.cerebellum.txt
