x	y	z
-893.0273195	-878.236864	260
-889.3883255	-864.982903	260
-891.0431785	-853.624846	260
-885.3186895	-730.732357	260
-884.1478795	-877.974705	260
-884.9312335	-743.615612	260
-877.1593855	-768.248642	260
-878.8740835	-845.388104	260
-877.7047815	-802.453731	260
-875.8574995	-743.151004	260
-870.0592445	-834.648945	260
-870.0861085	-789.976294	260
-863.1871625	-715.923582	260
-857.9550415	-892.575124	260
-849.2180765	-852.346417	260
-851.2197105	-731.249289	260
-849.1803485	-870.890525	260
-836.3951815	-866.935555	260
-840.7879715	-772.191555	260
-846.3344675	-821.589883	260
-836.5642195	-882.425779	260
-835.8699955	-741.275925	260
-833.2226055	-854.028114	260
-828.3422275	-868.878195	260
-826.9128125	-836.854028	260
-828.8978495	-753.046338	260
-813.9004655	-717.111563	260
-806.7062585	-862.292837	260
-806.4418795	-755.627221	260
-804.0466575	-845.394996	260
-800.9713315	-808.708302	260
-800.6470425	-822.849389	260
-801.7067025	-870.061675	260
-798.4400685	-719.527666	260
-792.2776375	-886.575894	260
-785.7074465	-794.68542	260
-785.7990755	-814.570944	260
-785.0606165	-879.108584	260
-782.2028095	-763.782699	260
-777.3259425	-777.881242	260
-762.0334605	-713.068498	260
-758.0964465	-776.156366	260
-759.0454005	-816.781133	260
-760.0586585	-865.062284	260
-748.1875425	-777.795239	260
-738.3922875	-753.817857	260
-730.9730775	-754.842947	260
-728.4981735	-726.938534	260
-726.2971455	-873.410558	260
-726.6384535	-792.898558	260
-717.8635075	-838.101616	260
-713.9646505	-713.492217	260
-710.7596245	-729.033223	260
-710.5028235	-744.26922	260
-881.6146985	-867.695499	260
-879.5254775	-833.241477	260
-830.3474615	-743.229757	260
-820.6670555	-748.093944	260
-820.6829335	-793.328579	260
-819.9063885	-758.048798	260
-799.9801545	-761.484647	260
-793.4913855	-769.766803	260
-716.5168125	-864.742097	260
-718.1581925	-774.842234	260
-713.6018685	-869.1973	260
-888.8536155	-803.879775	260
-854.9904715	-854.179944	260
-848.5922715	-841.477461	260
-827.5232725	-807.80266	260
-752.3620515	-758.887985	260
-723.5703535	-787.856793	260
-851.9993125	-885.527252	260
-783.7990745	-885.487148	260
-834.7701975	-804.941296	260
-782.5392175	-857.096443	260
-744.2956925	-791.638803	260
-737.1336195	-866.329522	260
-889.1475435	-558.521697	260
-878.2337605	-539.230364	260
-870.9880265	-689.609261	260
-868.8697175	-570.118712	260
-866.0602135	-593.15352	260
-862.4988145	-632.84491	260
-857.1007325	-516.114491	260
-849.2024325	-579.939201	260
-834.6646155	-541.097318	260
-831.3568795	-618.642548	260
-824.0175545	-590.856633	260
-815.1457335	-522.000089	260
-806.8633465	-629.191983	260
-805.4841515	-673.888215	260
-806.0911975	-557.911768	260
-795.1984925	-628.303231	260
-792.9788845	-592.307805	260
-784.5555885	-685.345713	260
-779.0274505	-545.701425	260
-775.6032365	-515.517213	260
-773.9635065	-651.553251	260
-772.6970635	-507.325718	260
-767.4493915	-606.196482	260
-762.5247295	-612.984299	260
-759.5155775	-664.508537	260
-752.0961705	-590.075874	260
-746.0128325	-634.436411	260
-745.0139995	-645.896996	260
-744.3798075	-524.058863	260
-739.3236495	-577.793917	260
-730.6430385	-587.607585	260
-723.7479285	-616.820622	260
-717.6666205	-647.193086	260
-708.9657335	-531.391634	260
-710.7899445	-605.093522	260
-708.9738325	-512.175521	260
-886.1590855	-614.525353	260
-849.7275575	-634.120785	260
-843.9675605	-670.668815	260
-829.5153425	-637.600325	260
-777.7712685	-572.902599	260
-773.3227605	-660.629701	260
-739.4459455	-544.362959	260
-729.8012905	-667.338749	260
-857.5660305	-554.21916	260
-801.5106715	-614.009594	260
-730.1892545	-595.245452	260
-888.8441285	-512.19599	260
-842.5841885	-690.355447	260
-783.2878235	-627.102939	260
-744.2695985	-683.016485	260
-847.9511935	-600.208604	260
-745.2301555	-654.52844	260
-887.8488065	-329.571092	260
-885.9321365	-464.435106	260
-882.9648065	-448.627177	260
-880.4831035	-378.892775	260
-879.2384745	-489.213153	260
-873.2145555	-321.331252	260
-856.5258585	-473.526263	260
-856.2259705	-403.338718	260
-852.5611325	-409.103711	260
-848.9546035	-377.281463	260
-846.1364715	-367.12739	260
-845.5559645	-320.604965	260
-844.0268985	-371.895547	260
-830.7165985	-405.09079	260
-827.9137465	-317.911689	260
-822.0542885	-377.078199	260
-821.6098045	-318.826398	260
-815.2818455	-454.189366	260
-799.6709315	-438.097704	260
-795.6997465	-325.985494	260
-772.7636205	-449.540806	260
