orig_cell_types	layer_ID
Astrocyte	260
Inhibitory	260
Inhibitory	260
Inhibitory	260
Inhibitory	260
OD Mature 2	260
Inhibitory	260
Inhibitory	260
Inhibitory	260
OD Mature 2	260
Inhibitory	260
Endothelial 1	260
Astrocyte	260
Inhibitory	260
Inhibitory	260
Astrocyte	260
Inhibitory	260
Ambiguous	260
Astrocyte	260
Inhibitory	260
Inhibitory	260
Pericytes	260
Ambiguous	260
Inhibitory	260
Ambiguous	260
Pericytes	260
Ambiguous	260
Inhibitory	260
Pericytes	260
Inhibitory	260
Astrocyte	260
OD Mature 2	260
Inhibitory	260
Astrocyte	260
Inhibitory	260
Ambiguous	260
Astrocyte	260
Ambiguous	260
Pericytes	260
Endothelial 2	260
Ambiguous	260
Inhibitory	260
Inhibitory	260
Inhibitory	260
Astrocyte	260
Inhibitory	260
OD Mature 2	260
Ambiguous	260
Inhibitory	260
OD Mature 2	260
OD Mature 1	260
Inhibitory	260
Astrocyte	260
Ambiguous	260
Endothelial 1	260
Endothelial 1	260
Pericytes	260
Pericytes	260
OD Immature 1	260
Pericytes	260
Pericytes	260
Pericytes	260
Inhibitory	260
Inhibitory	260
Ambiguous	260
Inhibitory	260
Inhibitory	260
Excitatory	260
Inhibitory	260
Inhibitory	260
Ambiguous	260
Pericytes	260
Inhibitory	260
Inhibitory	260
Ambiguous	260
Inhibitory	260
Inhibitory	260
Astrocyte	260
Endothelial 1	260
Astrocyte	260
Microglia	260
OD Mature 2	260
Ambiguous	260
OD Mature 2	260
OD Mature 2	260
Ambiguous	260
Pericytes	260
OD Mature 2	260
OD Mature 2	260
Ambiguous	260
Endothelial 1	260
Ambiguous	260
Astrocyte	260
Endothelial 1	260
Inhibitory	260
Inhibitory	260
Ambiguous	260
OD Mature 2	260
Endothelial 1	260
Inhibitory	260
Inhibitory	260
OD Mature 2	260
Endothelial 1	260
OD Mature 2	260
OD Mature 2	260
Astrocyte	260
Inhibitory	260
Ambiguous	260
OD Mature 2	260
OD Mature 2	260
Inhibitory	260
Ambiguous	260
OD Mature 2	260
Ambiguous	260
Astrocyte	260
Inhibitory	260
OD Mature 2	260
Ambiguous	260
Astrocyte	260
Ambiguous	260
Ambiguous	260
Ambiguous	260
Inhibitory	260
Ambiguous	260
OD Mature 2	260
Inhibitory	260
OD Mature 2	260
Astrocyte	260
Inhibitory	260
Inhibitory	260
Astrocyte	260
Excitatory	260
OD Mature 1	260
OD Mature 2	260
Inhibitory	260
OD Immature 1	260
OD Immature 1	260
OD Mature 2	260
Inhibitory	260
Inhibitory	260
Inhibitory	260
Inhibitory	260
Astrocyte	260
Inhibitory	260
Inhibitory	260
OD Mature 2	260
Inhibitory	260
Astrocyte	260
Ambiguous	260
Ambiguous	260
OD Mature 2	260
Astrocyte	260
Ambiguous	260
Astrocyte	260
Ambiguous	260
OD Mature 2	260
OD Mature 2	260
Astrocyte	260
Inhibitory	260
Endothelial 1	260
Inhibitory	260
Endothelial 3	260
Inhibitory	260
OD Immature 1	260
OD Mature 2	260
Inhibitory	260
Pericytes	260
Inhibitory	260
Inhibitory	260
Excitatory	260
Ambiguous	260
Inhibitory	260
Inhibitory	260
OD Mature 1	260
Ambiguous	260
OD Mature 2	260
Inhibitory	260
Inhibitory	260
Endothelial 2	260
Inhibitory	260
Inhibitory	260
Inhibitory	260
OD Mature 2	260
OD Mature 2	260
Inhibitory	260
Inhibitory	260
Inhibitory	260
Endothelial 1	260
Excitatory	260
OD Mature 2	260
Ambiguous	260
Excitatory	260
Inhibitory	260
OD Mature 2	260
OD Mature 2	260
Excitatory	260
Endothelial 1	260
Endothelial 1	260
OD Immature 1	260
Inhibitory	260
Excitatory	260
Microglia	260
OD Mature 4	260
OD Mature 2	260
OD Mature 2	260
Excitatory	260
Excitatory	260
Astrocyte	260
Microglia	260
Ambiguous	260
OD Mature 2	260
Endothelial 1	260
Excitatory	260
Astrocyte	260
Ambiguous	260
Ambiguous	260
Inhibitory	260
Endothelial 3	260
OD Immature 1	260
Inhibitory	260
Inhibitory	260
Ambiguous	260
Ambiguous	260
Astrocyte	260
Ambiguous	260
Astrocyte	260
Ambiguous	260
Inhibitory	260
OD Immature 1	260
Inhibitory	260
Microglia	260
Inhibitory	260
Astrocyte	260
Inhibitory	260
OD Mature 2	260
OD Mature 1	260
Excitatory	260
Inhibitory	260
Ambiguous	260
OD Mature 2	260
Inhibitory	260
Inhibitory	260
Endothelial 3	260
Inhibitory	260
Excitatory	260
Inhibitory	260
Excitatory	260
Inhibitory	260
Inhibitory	260
OD Mature 2	260
Inhibitory	260
Excitatory	260
Inhibitory	260
Inhibitory	260
Inhibitory	260
Inhibitory	260
Inhibitory	260
Endothelial 3	260
Astrocyte	260
Inhibitory	260
Astrocyte	260
Inhibitory	260
OD Mature 2	260
Inhibitory	260
Inhibitory	260
Astrocyte	260
Endothelial 3	260
OD Immature 1	260
Excitatory	260
Microglia	260
Endothelial 1	260
Endothelial 1	260
Inhibitory	260
Astrocyte	260
Astrocyte	260
Inhibitory	260
Inhibitory	260
Endothelial 1	260
OD Immature 1	260
Endothelial 3	260
Inhibitory	260
Astrocyte	260
Astrocyte	260
Ambiguous	260
Inhibitory	260
Astrocyte	260
Excitatory	260
Inhibitory	260
Endothelial 1	260
Inhibitory	260
Ambiguous	260
Inhibitory	260
Ambiguous	260
Inhibitory	260
Inhibitory	260
Inhibitory	260
Inhibitory	260
Inhibitory	260
Inhibitory	260
Inhibitory	260
OD Mature 2	260
Inhibitory	260
Astrocyte	260
Inhibitory	260
Astrocyte	260
OD Immature 1	260
Ambiguous	260
OD Immature 1	260
Microglia	260
OD Mature 2	260
Inhibitory	260
Inhibitory	260
Inhibitory	260
Inhibitory	260
Ambiguous	260
Astrocyte	260
Endothelial 1	260
Inhibitory	260
Endothelial 1	260
Inhibitory	260
Inhibitory	260
Excitatory	260
Inhibitory	260
OD Mature 1	260
Endothelial 1	260
Inhibitory	260
Endothelial 3	260
Microglia	260
Inhibitory	260
Astrocyte	260
Ambiguous	260
Inhibitory	260
Inhibitory	260
Inhibitory	260
Inhibitory	260
Inhibitory	260
Inhibitory	260
Inhibitory	260
Astrocyte	260
Inhibitory	260
Inhibitory	260
Inhibitory	260
Inhibitory	260
Inhibitory	260
Inhibitory	260
Inhibitory	260
Inhibitory	260
Inhibitory	260
Astrocyte	260
Ambiguous	260
Inhibitory	260
Microglia	260
Inhibitory	260
Inhibitory	260
Astrocyte	260
Ambiguous	260
Endothelial 1	260
Inhibitory	260
Endothelial 1	260
Endothelial 1	260
Ambiguous	260
Ambiguous	260
Endothelial 1	260
Endothelial 2	260
Inhibitory	260
Astrocyte	260
Ambiguous	260
Astrocyte	260
Ambiguous	260
Inhibitory	260
Ambiguous	260
Endothelial 1	260
Endothelial 1	260
Inhibitory	260
Inhibitory	260
Astrocyte	260
Ambiguous	260
Inhibitory	260
Endothelial 1	260
Ambiguous	260
OD Immature 1	260
Inhibitory	260
OD Immature 1	260
Astrocyte	260
Inhibitory	260
Pericytes	260
Astrocyte	260
Inhibitory	260
Inhibitory	260
Endothelial 1	260
Ambiguous	260
Astrocyte	260
Inhibitory	260
Inhibitory	260
Astrocyte	260
Inhibitory	260
Inhibitory	260
Endothelial 1	260
Inhibitory	260
Inhibitory	260
Inhibitory	260
Inhibitory	260
Inhibitory	260
Inhibitory	260
Astrocyte	260
Inhibitory	260
Astrocyte	260
Inhibitory	260
OD Immature 2	260
Inhibitory	260
Inhibitory	260
Inhibitory	260
Inhibitory	260
Inhibitory	260
Inhibitory	260
Inhibitory	260
Inhibitory	260
Endothelial 1	260
Endothelial 1	260
Inhibitory	260
Astrocyte	260
OD Mature 2	260
OD Mature 2	260
OD Mature 2	260
OD Mature 2	260
OD Mature 2	260
OD Mature 2	260
Astrocyte	260
OD Mature 2	260
OD Mature 2	260
OD Mature 2	260
Ambiguous	260
OD Mature 4	260
OD Mature 2	260
OD Mature 2	260
OD Mature 2	260
Endothelial 3	260
OD Mature 2	260
OD Mature 4	260
Ambiguous	260
OD Mature 2	260
Endothelial 3	260
OD Mature 2	260
OD Mature 2	260
OD Mature 2	260
OD Mature 2	260
OD Mature 2	260
Ambiguous	260
OD Mature 2	260
OD Mature 2	260
OD Mature 2	260
OD Mature 2	260
OD Mature 2	260
OD Mature 2	260
OD Mature 2	260
Ambiguous	260
OD Mature 1	260
OD Mature 2	260
OD Mature 2	260
OD Mature 2	260
OD Mature 2	260
OD Mature 2	260
OD Mature 2	260
OD Mature 2	260
OD Mature 2	260
OD Mature 1	260
OD Immature 1	260
OD Mature 2	260
OD Mature 1	260
OD Mature 2	260
OD Mature 1	260
OD Mature 4	260
OD Mature 2	260
Endothelial 3	260
Ambiguous	260
Astrocyte	260
Ambiguous	260
OD Mature 2	260
OD Mature 1	260
Ambiguous	260
Inhibitory	260
Inhibitory	260
OD Mature 2	260
OD Mature 2	260
Endothelial 1	260
Inhibitory	260
OD Mature 2	260
Inhibitory	260
OD Immature 1	260
OD Mature 2	260
Ambiguous	260
Endothelial 1	260
OD Mature 2	260
Microglia	260
OD Mature 2	260
Astrocyte	260
Endothelial 1	260
OD Mature 2	260
OD Mature 2	260
OD Mature 2	260
OD Mature 2	260
Inhibitory	260
OD Mature 2	260
OD Mature 2	260
OD Mature 4	260
OD Mature 2	260
OD Mature 2	260
OD Mature 2	260
OD Mature 2	260
OD Mature 2	260
OD Mature 2	260
Ambiguous	260
OD Mature 2	260
Ambiguous	260
OD Mature 2	260
OD Mature 4	260
OD Mature 2	260
OD Immature 1	260
OD Mature 2	260
OD Mature 2	260
Ambiguous	260
OD Mature 2	260
Endothelial 1	260
Astrocyte	260
OD Mature 2	260
OD Mature 4	260
OD Mature 1	260
OD Mature 2	260
OD Mature 2	260
OD Mature 2	260
OD Mature 2	260
Microglia	260
OD Mature 2	260
Endothelial 3	260
OD Mature 2	260
Ambiguous	260
OD Mature 2	260
OD Mature 2	260
OD Mature 2	260
OD Mature 2	260
Astrocyte	260
OD Mature 2	260
OD Mature 2	260
OD Mature 2	260
OD Mature 2	260
OD Mature 2	260
OD Mature 2	260
Ambiguous	260
OD Mature 2	260
Ambiguous	260
OD Mature 2	260
OD Mature 2	260
OD Mature 2	260
Inhibitory	260
OD Mature 4	260
Inhibitory	260
Inhibitory	260
Endothelial 1	260
Inhibitory	260
Inhibitory	260
Inhibitory	260
Inhibitory	260
Inhibitory	260
Inhibitory	260
Inhibitory	260
Inhibitory	260
Astrocyte	260
Astrocyte	260
Astrocyte	260
Inhibitory	260
Inhibitory	260
Excitatory	260
Inhibitory	260
Endothelial 3	260
Inhibitory	260
Inhibitory	260
Inhibitory	260
Endothelial 1	260
Endothelial 1	260
Inhibitory	260
Endothelial 1	260
Inhibitory	260
Inhibitory	260
Inhibitory	260
Astrocyte	260
Ambiguous	260
Inhibitory	260
Astrocyte	260
Inhibitory	260
Pericytes	260
Inhibitory	260
Endothelial 2	260
Endothelial 1	260
Inhibitory	260
OD Mature 2	260
