mouseLigand	mouseReceptor
A2m	Lrp1
Aanat	Mtnr1a
Aanat	Mtnr1b
Adam12	Itga9
Adam12	Itgb1
Adam12	Sdc4
Adam15	Itga5
Adam15	Itga9
Adam15	Itgb1
Adam15	Itgb3
Adam17	Itga5
Adam17	Itgb1
Adam23	Itga5
Adam23	Itgb3
Adam2	Itga6
Adam2	Itgb1
Adam9	Itga6
Adam9	Itgav
Adam9	Itgb1
Adam9	Itgb5
Adcyap1	Adcyap1r1
Adcyap1	Vipr1
Adcyap1	Vipr2
Adipoq	Adipor1
Adipoq	Adipor2
Adm2	Calcr
Adm2	Calcrl
Adm2	Ramp1
Adm	Calcr
Adm	Calcrl
Adm	Gpr182
Adm	Mrgprx2
Adm	Ramp2
Agrn	Musk
Agrp	Mc3r
Agrp	Mc4r
Agrp	Mc5r
Agt	Agtr1
Agt	Agtr2
Agt	Lrp2
Agt	Mas1
Amh	Amhr2
Angpt1	Tek
Angpt1	Tie1
Angpt2	Tek
Angpt4	Tek
Angptl1	Tek
Anxa1	Fpr1
Anxa1	Fpr2
Anxa1	Fpr3
Apln	Aplnr
Apob	Ldlr
Apoe	Ldlr
Apoe	Lrp5
Apoe	Lrp8
Apoe	Sorl1
Apoe	Vldlr
App	Fpr2
Aregb	Egfr
Areg	Egfr
Arf1	Pld2
Artn	Gfra3
Artn	Ret
Asip	Atrn
Asip	Mc1r
Avp	Avpr1a
Avp	Avpr1b
Avp	Avpr2
Avp	Oxtr
Bdnf	Ngfr
Bdnf	Ngfrap1
Bdnf	Ntrk2
Bmp10	Acvr2a
Bmp10	Acvrl1
Bmp10	Bmpr1a
Bmp10	Bmpr1b
Bmp10	Bmpr2
Bmp15	Acvr2a
Bmp15	Bmpr1a
Bmp15	Bmpr1b
Bmp15	Bmpr2
Bmp2	Acvr1
Bmp2	Acvr2a
Bmp2	Acvr2b
Bmp2	Bmpr1a
Bmp2	Bmpr1b
Bmp2	Bmpr2
Bmp3	Acvr2b
Bmp4	Bmpr1a
Bmp4	Bmpr1b
Bmp4	Bmpr2
Bmp5	Bmpr1a
Bmp6	Acvr1
Bmp6	Acvr2a
Bmp6	Bmpr1a
Bmp6	Bmpr1b
Bmp6	Bmpr2
Bmp7	Acvr1
Bmp7	Acvr2a
Bmp7	Acvr2b
Bmp7	Bmpr1a
Bmp7	Bmpr1b
Bmp7	Bmpr2
Btc	Egfr
Btc	Erbb3
Btc	Erbb4
Btla	Tnfrsf14
C3	C3ar1
C3	Itgax
C3	Itgb2
C3	Lrp1
C5	C5ar1
C5	C5ar2
Calca	Calcr
Calca	Calcrl
Calca	Ramp1
Calcb	Calcr
Calcb	Calcrl
Calcb	Ramp1
Calr	Scarf1
Camp	Fpr2
Cck	Cckar
Cck	Cckbr
Ccl11	Ackr2
Ccl11	Ccr2
Ccl11	Ccr3
Ccl11	Ccr5
Ccl11	Cxcr3
Ccl13	Ackr2
Ccl13	Ccr1
Ccl13	Ccr2
Ccl13	Ccr3
Ccl13	Ccr5
Ccl13	Cxcr3
Ccl14	Ackr2
Ccl14	Ccr1
Ccl14	Ccr5
Ccl15	Ccr1
Ccl15	Ccr3
Ccl16	Ccr1
Ccl16	Ccr2
Ccl16	Ccr5
Ccl16	Hrh4
Ccl17	Ccr4
Ccl17	Ccr8
Ccl19	Ackr4
Ccl19	Ccr7
Ccl19	Ccrl2
Ccl19	Cxcr3
Ccl1	Ccr8
Ccl20	Ccr6
Ccl20	Cxcr3
Ccl21	Ackr4
Ccl21	Ccr7
Ccl21	Cxcr3
Ccl22	Ccr4
Ccl23	Ccr1
Ccl24	Ccr2
Ccl24	Ccr3
Ccl25	Ackr4
Ccl25	Ccr9
Ccl26	Ccr2
Ccl26	Ccr3
Ccl27	Ccr10
Ccl28	Ccr10
Ccl28	Ccr3
Ccl2	Ackr2
Ccl2	Ccr1
Ccl2	Ccr2
Ccl2	Ccr3
Ccl2	Ccr4
Ccl2	Ccr5
Ccl2	Darc
Ccl3	Ccr1
Ccl3	Ccr5
Ccl4	Ackr2
Ccl4	Ccr1
Ccl4	Ccr5
Ccl4	Ccr8
Ccl5	Ackr2
Ccl5	Ccr1
Ccl5	Ccr3
Ccl5	Ccr4
Ccl5	Ccr5
Ccl5	Cxcr3
Ccl5	Darc
Ccl5	Gpr75
Ccl7	Ackr2
Ccl7	Ccr1
Ccl7	Ccr2
Ccl7	Ccr3
Ccl7	Ccr5
Ccl7	Cxcr3
Ccl8	Ackr2
Ccl8	Ccr1
Ccl8	Ccr2
Ccl8	Ccr3
Ccl8	Ccr5
Cd24	Selp
Cd34	Sell
Cd40lg	Cd40
Cd55	Cd97
Cd70	Cd27
Cdh1	Itgae
Cdh1	Itgb7
Cfh	Sell
Cga	Fshr
Cga	Lhcgr
Cga	Tshr
Cgb	Lhcgr
Chad	Itga2
Chad	Itgb1
Clcf1	Cntfr
Clcf1	Crlf1
Clcf1	Il6st
Clcf1	Lifr
Cntf	Cntfr
Cntf	Il6st
Cntf	Lifr
Col18a1	Gpc1
Col18a1	Itga5
Col18a1	Itgb1
Col1a1	Ddr1
Col1a1	Ddr2
Col1a1	Itga11
Col1a1	Itga2
Col1a1	Itgb1
Col2a1	Itga10
Col2a1	Itga2
Col2a1	Itgb1
Col4a1	Itga1
Col4a1	Itgb1
Col4a1	Itgb8
Col5a3	Sdc3
Cort	Ghsr
Cort	Mrgprx2
Cort	Sstr1
Cort	Sstr2
Cort	Sstr3
Cort	Sstr4
Cort	Sstr5
Crh	Crhr1
Crh	Crhr2
Crh	Mc2r
Csf1	Csf1r
Csf2	Csf1r
Csf2	Csf2ra
Csf2	Csf2rb
Csf2	Csf3r
Csf3	Csf1r
Csf3	Csf3r
Csh1	Prlr
Csh2	Prlr
Cshl1	Prlr
Ctf1	Il6st
Ctf1	Lifr
Ctgf	Itgam
Ctgf	Itgb2
Ctgf	Lrp6
Cx3cl1	Cx3cr1
Cxcl10	Ccr3
Cxcl10	Cxcr3
Cxcl11	Ackr3
Cxcl11	Ccr3
Cxcl11	Cxcr3
Cxcl12	Ackr3
Cxcl12	Cxcr3
Cxcl12	Cxcr4
Cxcl13	Cxcr5
Cxcl16	Cxcr6
Cxcl1	Cxcr1
Cxcl1	Cxcr2
Cxcl1	Darc
Cxcl2	Cxcr1
Cxcl2	Cxcr2
Cxcl2	Xcr1
Cxcl3	Cxcr1
Cxcl3	Cxcr2
Cxcl5	Cxcr1
Cxcl5	Cxcr2
Cxcl6	Cxcr1
Cxcl6	Cxcr2
Cxcl9	Ccr3
Cxcl9	Cxcr3
Cyr61	Itga5
Cyr61	Itgam
Cyr61	Itgb2
Cyr61	Itgb3
Defb4a	Ccr6
Defb4b	Ccr6
Dhh	Hhip
Dhh	Ptch2
Dkk1	Kremen1
Dkk1	Kremen2
Dkk1	Lrp6
Dkk2	Lrp6
Dlk1	Notch1
Dll1	Notch1
Dll1	Notch2
Dll1	Notch3
Dll4	Notch1
Dll4	Notch2
Dll4	Notch3
Dll4	Notch4
Eda	Eda2r
Eda	Edar
Edn1	Ednra
Edn2	Ednra
