Event	Astro_ependymal	Cerebellum	Cholinergic_monoaminergic	Cortex_hippocampus_thalamus	Cortex_hippocampus	di_mesencephalon_1	di_mesencephalon_2	Ensheathing_satelliteGlia	Granule_neurons	Hindbrain	Immune	Medium_spiny_neurons	Neuroblasts_1	Neuroblasts_2	Olfactory_bulb	Oligo_dendrocyte	Peptidergic	Spinal_cord_1	Spinal_cord_2	Vascular
Cartpt	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm15469	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pmch	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ly6a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Fibcd1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc6a5	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
Fam183b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Nts	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
Syce2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Cox6a2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5031425F14Rik	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gata3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
6330403A02Rik	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cited1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Skor1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Pbx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Ccdc80	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Fam159b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Nr3c2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Cdca7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Krt15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cidea	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lhx6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cbln3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pgr15l	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hoxb6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Hoxb2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Scn1a	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tekt5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lypd6b	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ucma	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Parm1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Penk	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Apoc1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mia	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wipf3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Drd5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110032F04Rik	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Igsf1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Efhd1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Tfap2b	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
