"V1" "V2" "V3"
"2944" 270 212 19
"17523" 1389 1215 54
"30080" 1051 360 89
"941" 592 777 10
"28514" 1058 223 84
"5660" 615 69 31
"5789" 1063 868 23
"18757" 436 303 53
"10365" 836 906 37
"7798" 1389 533 30
"8762" 731 1193 34
"8155" 1259 1122 25
"13427" 669 480 39
"8640" 176 175 36
"17384" 902 1266 59
"11019" 317 130 39
"29650" 843 358 88
"4807" 277 800 24
"32851" 676 148 90
"32572" 267 1485 89
"7242" 688 427 30
"23720" 379 446 71
"8139" 1196 1102 32
"27906" 267 1285 78
"19742" 1249 972 64
"18868" 786 997 53
"7956" 510 268 30
"28218" 1541 1418 80
"18703" 234 384 53
"3170" 1148 692 18
"27081" 1505 652 76
"16858" 326 1211 54
"20023" 1014 738 57
"13790" 627 520 54
"29833" 1540 953 89
"21083" 807 279 59
"24572" 734 247 68
"14731" 1162 999 43
"14812" 1477 941 47
"27582" 510 1085 82
"27766" 1126 936 76
"9422" 356 631 34
"14853" 174 210 43
"11359" 82 618 40
"24522" 526 780 75
"24842" 146 1206 77
"9877" 529 266 35
"8515" 1165 238 33
"4615" 1010 253 19
"16341" 1295 438 50
"15929" 1176 277 45
"31632" 1020 606 90
"24483" 355 285 68
"26779" 368 634 79
"24553" 665 1211 73
"9954" 836 379 30
"1061" 211 807 10
"14329" 1205 825 43
"5096" 1427 653 22
"20009" 955 755 56
"4082" 542 957 20
"21918" 893 769 61
"18346" 252 899 52
"21730" 35 851 66
"7865" 136 1481 30
"19309" 1112 831 54
"5658" 610 259 24
"18878" 815 1250 53
"6326" 76 367 21
"16581" 787 299 53
"19831" 113 574 56
"11874" 563 794 41
"20541" 21 552 58
"9593" 982 1136 36
"17566" 38 869 51
"22809" 1268 1429 63
"12119" 1443 1287 41
"16192" 725 123 48
"746" 292 735 11
"20070" 1154 945 56
"1226" 913 422 9
"18727" 328 1142 53
"7369" 1138 373 28
"1712" 683 324 16
"11480" 644 4 38
"10935" 1455 1147 41
"11467" 602 1158 43
"24586" 796 358 72
"24872" 293 646 72
"30537" 1275 1077 83
"3994" 91 253 20
"7045" 1438 1021 22
"19960" 791 263 56
"28564" 1203 1011 78
"426" 30 797 6
"12716" 959 759 37
"4728" 1472 948 16
"24796" 1510 1139 69
"1001" 928 1497 9
"23572" 1270 1295 71
"16030" 8 3 50
"17151" 1561 1276 54
"9166" 808 1008 28
"6119" 867 134 25
"21451" 640 326 67
"19233" 816 282 54
"29853" 73 596 84
"31676" 1134 668 86
"31561" 752 66 86
"24243" 987 430 68
"31893" 579 1105 87
"30644" 137 1163 90
"22086" 1581 1048 68
"8395" 812 1308 39
"8761" 731 655 34
"26136" 905 812 79
"25788" 1002 795 76
"33258" 962 1534 92
"29320" 955 700 80
"27258" 721 677 80
"10445" 1086 266 33
"24149" 640 1479 78
"20143" 1486 606 57
"680" 827 1475 8
"30022" 798 236 82
"17555" 1594 1116 55
"16382" 1482 1380 60
"9767" 1654 1111 39
"25900" 1327 450 78
"9361" 15 696 30
"13391" 504 742 46
"8943" 1365 1265 30
"9378" 163 421 35
"26487" 711 364 79
"7031" 1359 1183 36
"24967" 775 6 75
"10865" 1170 651 37
"17411" 1028 861 61
"33345" 116 742 93
"18170" 1055 1093 58
"6380" 367 956 23
"18163" 1032 934 51
"1071" 235 1327 10
"14847" 130 1354 47
"16981" 806 1106 54
"24472" 326 935 68
"28366" 500 1458 86
"24222" 910 530 73
"14257" 1008 491 44
"11219" 1117 183 33
"11588" 996 554 34
"21316" 58 778 66
"6617" 1223 493 27
"19609" 857 127 58
"16680" 1161 1148 47
"1923" 187 697 16
"14324" 1200 918 45
"25981" 188 546 72
"15708" 217 1147 56
"2344" 621 1249 15
"13629" 1462 590 44
"24118" 536 1090 74
"17386" 910 1480 55
"4786" 213 802 17
"30237" 143 724 89
"27529" 306 2 76
"7283" 873 741 32
"8414" 864 199 30
"16000" 1466 807 46
"7467" 26 114 35
"26006" 329 913 79
"31623" 971 1303 87
"6100" 804 161 24
"20555" 92 751 59
"26513" 786 1425 83
"21310" 49 1495 61
"2563" 154 109 11
"2238" 77 600 21
"23009" 678 953 69
"1101" 375 591 10
"23797" 796 1069 72
"4143" 767 1041 16
"12071" 1272 878 41
"21807" 410 617 61
"10965" 56 169 37
"23640" 1613 1300 65
"10963" 45 817 49
"4938" 829 159 17
"30220" 83 177 92
"731" 192 1064 7
"22706" 889 291 63
"33587" 1404 1192 94
"2128" 1021 431 11
"11827" 382 911 35
"8502" 1134 969 26
"10874" 1199 535 37
"27251" 700 65 75
"22577" 392 7 64
"25080" 1152 753 74
"33334" 1710 1437 92
"31843" 327 432 90
"30590" 1447 1217 90
"24961" 754 1353 69
"26453" 572 709 73
"20064" 1139 611 56
"16807" 76 1378 48
"17291" 548 87 54
"11787" 207 657 41
"21070" 759 106 59
"31589" 847 1320 93
"6589" 1156 555 29
"14467" 212 1101 47
"21899" 826 164 61
"19916" 544 1439 69
"19796" 1561 1365 55
"9054" 325 792 41
"10230" 289 677 32
"20698" 770 154 59
"28508" 1046 1065 78
"3698" 382 1392 18
"23504" 1076 1462 69
"28747" 412 1284 79
"22040" 1318 1265 67
"4751" 34 1048 25
"15065" 945 1130 44
"30350" 622 849 90
"11564" 945 326 34
"20899" 1674 1459 64
"25196" 91 1107 78
"2267" 244 406 16
"32315" 749 132 94
"27504" 199 246 82
"3904" 1168 1159 22
"7120" 244 315 30
"15299" 292 149 54
"8816" 937 272 27
"3682" 313 250 14
"14490" 315 419 47
"19523" 442 1197 55
"27432" 1373 1338 80
"12623" 542 1021 47
"32453" 1214 448 94
"17153" 1573 969 53
"27835" 1427 1382 81
"10609" 217 494 34
"12127" 1494 923 40
"5464" 1224 681 19
"20423" 1074 1057 63
"18764" 466 1046 61
"200" 306 1017 8
"21059" 724 805 68
"11469" 609 1524 41
"14719" 1130 136 47
"5580" 257 425 25
"4051" 367 263 15
"485" 446 107 8
"28923" 992 1535 80
"13134" 1111 1468 42
"24509" 463 1335 70
"16230" 879 322 46
"29120" 188 370 80
"9011" 126 171 35
"344" 551 1054 6
"7703" 1092 1464 31
"4221" 1010 214 19
"24768" 1355 967 68
"15962" 1267 1528 50
"30067" 992 1535 83
"25207" 146 262 78
"15892" 1063 309 45
"721" 122 930 12
"12380" 1022 425 42
"11867" 535 1328 35
"24969" 782 1126 83
"31771" 1681 1377 89
"4096" 622 3 29
"26135" 904 965 78
"20902" 1719 1466 58
"777" 535 1233 10
"22246" 636 1396 81
"31809" 186 208 89
"21240" 1277 1002 59
"460" 286 201 7
"23400" 666 1472 72
"301" 481 1295 6
"3472" 926 199 18
"15441" 880 415 51
"18743" 379 206 62
"18274" 1470 1459 51
"6157" 1005 424 25
"9249" 1135 685 28
"25859" 1217 1252 86
"1961" 359 1525 15
"28538" 1131 568 82
"1200" 820 385 11
"17994" 320 295 57
"31651" 1076 1046 91
"17802" 1096 709 50
"33499" 105 1351 94
"19757" 1309 1037 59
"11319" 1516 1060 33
"18453" 743 1130 52
"4204" 954 1316 15
"25212" 183 416 70
"27411" 1312 250 76
"16395" 1598 1520 52
"13206" 1339 417 38
"14357" 1286 1154 52
"15196" 1357 1393 50
"26193" 1088 1248 74
